,Opponent,Result
1954-06-16,Austria,Loss
1954-06-19,Uruguay,Loss
1958-06-08,Yugoslavia,Loss
1958-06-11,Paraguay,Loss
1958-06-15,France,Loss
1974-06-14,Zaire,Win
1974-06-18,Brazil,Loss
1974-06-22,Yugoslavia,Loss
1978-06-03,Peru,Loss
1978-06-07,Iran,Loss
1978-06-11,Netherlands,Win
1982-06-15,New Zealand,Win
1982-06-18,Brazil,Loss
1982-06-22,Soviet Union,Loss
1986-06-04,Denmark,Loss
1986-06-08,West Germany,Loss
1986-06-13,Uruguay,Loss
1990-06-11,Costa Rica,Loss
1990-06-16,Sweden,Win
1990-06-20,Brazil,Loss
1998-06-10,Brazil,Loss
1998-06-16,Norway,Loss
1998-06-23,Morocco,Loss
