,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,80,1294,211,1954-06-17,1954,Switzerland,Zürich,Hardturm,13000.0,Groups,Hungary,HUN,South Korea,KOR,4,0,5,0,9,0,Hungary,4.0,0.0,5.0,0.0,9.0,0.0,Groups,Groups,1.0,1.0
1,88,1304,211,1954-06-20,1954,Switzerland,Geneva,Charmilles,4000.0,Groups,Turkey,TUR,South Korea,KOR,4,0,3,0,7,0,Turkey,4.0,0.0,3.0,0.0,7.0,0.0,Groups,Groups,1.0,1.0
2,364,395,308,1986-06-02,1986,Mexico,Mexico City,Estadio Olímpico Universitario,60000.0,Groups,Argentina,ARG,South Korea,KOR,2,0,1,1,3,1,Argentina,2.0,0.0,1.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0
3,374,460,308,1986-06-05,1986,Mexico,Mexico City,Estadio Olímpico Universitario,45000.0,Groups,South Korea,KOR,Bulgaria,BUL,0,1,1,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
4,386,643,308,1986-06-10,1986,Mexico,Puebla,Cuauhtemoc,20000.0,Groups,South Korea,KOR,Italy,ITA,0,1,2,2,2,3,Italy,1.0,0.0,2.0,2.0,3.0,2.0,Groups,Groups,1.0,1.0
5,421,57,322,1990-06-12,1990,Italy,Verona,Marc Antonio Bentegodi,32790.0,Groups,Belgium,BEL,South Korea,KOR,0,0,2,0,2,0,Belgium,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
6,434,175,322,1990-06-17,1990,Italy,Udine,Dacia Arena,32733.0,Groups,South Korea,KOR,Spain,ESP,1,1,0,2,1,3,Spain,1.0,1.0,2.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0
7,444,290,322,1990-06-21,1990,Italy,Udine,Friuli,29039.0,Groups,South Korea,KOR,Uruguay,URU,0,0,0,1,0,1,Uruguay,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
8,464,3050,337,1994-06-17,1994,United States,Dallas,Cotton Bowl,56247.0,Groups,Spain,ESP,South Korea,KOR,0,0,2,2,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0
9,480,3065,337,1994-06-23,1994,United States,Foxborough,Foxboro Stadium,54453.0,Groups,South Korea,KOR,Bolivia,BOL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0
10,490,3076,337,1994-06-27,1994,United States,Dallas,Cotton Bowl,63998.0,Groups,Germany,GER,South Korea,KOR,3,0,0,2,3,2,Germany,3.0,0.0,0.0,2.0,3.0,2.0,Groups,Groups,1.0,1.0
