,Opponent,Result
1954-06-17,Hungary,Loss
1954-06-20,Turkey,Loss
1986-06-02,Argentina,Loss
1986-06-05,Bulgaria,Loss
1986-06-10,Italy,Loss
1990-06-12,Belgium,Loss
1990-06-17,Spain,Loss
1990-06-21,Uruguay,Loss
1994-06-17,Spain,Loss
1994-06-23,Bolivia,Loss
1994-06-27,Germany,Loss
1998-06-13,Mexico,Loss
1998-06-20,Netherlands,Loss
1998-06-25,Belgium,Loss
2002-06-04,Poland,Win
2002-06-10,United States,Loss
2002-06-14,Portugal,Win
2002-06-18,Italy,Win
2002-06-22,Spain,Win
2002-06-25,Germany,Loss
2002-06-29,Turkey,Loss
2006-06-13,Togo,Win
2006-06-18,France,Loss
2006-06-23,Switzerland,Loss
2010-06-12,Greece,Win
2010-06-17,Argentina,Loss
2010-06-22,Nigeria,Loss
2010-06-26,Uruguay,Loss
2014-06-17,Russia,Loss
2014-06-22,Algeria,Loss
2014-06-26,Belgium,Loss
