Opponent,Wins,Matches,Win %
Hungary,2.0,2,100.0
Austria,1.0,1,100.0
Cameroon,1.0,1,100.0
Canada,1.0,1,100.0
El Salvador,1.0,1,100.0
Italy,1.0,1,100.0
New Zealand,1.0,1,100.0
North Korea,1.0,1,100.0
Yugoslavia,1.0,1,100.0
England,1.5,2,75.0
Belgium,2.0,3,66.66666666666666
Chile,1.0,2,50.0
Uruguay,1.0,2,50.0
Colombia,0.5,1,50.0
France,0.5,1,50.0
Mexico,0.5,1,50.0
Poland,0.5,1,50.0
Scotland,0.5,1,50.0
Brazil,0.0,2,0.0
Argentina,0.0,1,0.0
Portugal,0.0,1,0.0
Romania,0.0,1,0.0
Sweden,0.0,1,0.0
West Germany,0.0,1,0.0
