Opponent,Wins,Matches,Win %
Belgium,2.0,3,66.67%
Brazil,0.0,2,0.00%
Uruguay,1.0,2,50.00%
Chile,1.0,2,50.00%
England,1.5,2,75.00%
Hungary,2.0,2,100.00%
Argentina,0.0,1,0.00%
North Korea,1.0,1,100.00%
West Germany,0.0,1,0.00%
Sweden,0.0,1,0.00%
Scotland,0.5,1,50.00%
Romania,0.0,1,0.00%
Portugal,0.0,1,0.00%
Poland,0.5,1,50.00%
Italy,1.0,1,100.00%
New Zealand,1.0,1,100.00%
Mexico,0.5,1,50.00%
Austria,1.0,1,100.00%
France,0.5,1,50.00%
El Salvador,1.0,1,100.00%
Colombia,0.5,1,50.00%
Canada,1.0,1,100.00%
Cameroon,1.0,1,100.00%
Yugoslavia,1.0,1,100.00%
