,Opponent,Result
1958-06-08,England,Loss
1958-06-11,Austria,Win
1958-06-15,Brazil,Loss
1958-06-17,England,Win
1958-06-19,Sweden,Loss
1962-05-31,Yugoslavia,Win
1962-06-03,Colombia,Loss
1962-06-06,Uruguay,Win
1962-06-10,Chile,Loss
1966-07-12,North Korea,Win
1966-07-16,Italy,Win
1966-07-20,Chile,Win
1966-07-23,Hungary,Win
1966-07-25,West Germany,Loss
1966-07-28,Portugal,Loss
1970-05-31,Mexico,Loss
1970-06-06,Belgium,Win
1970-06-10,El Salvador,Win
1970-06-14,Uruguay,Loss
1982-06-14,Brazil,Loss
1982-06-19,New Zealand,Win
1982-06-22,Scotland,Loss
1982-07-01,Belgium,Win
1982-07-04,Poland,Loss
1986-06-02,Hungary,Win
1986-06-05,France,Loss
1986-06-09,Canada,Win
1986-06-15,Belgium,Loss
1990-06-09,Romania,Loss
1990-06-13,Argentina,Loss
1990-06-18,Cameroon,Win
