Opponent,Wins,Matches,Win %
Algeria,1.0,1,100.0
Australia,1.0,1,100.0
Bolivia,1.0,1,100.0
Bulgaria,1.0,1,100.0
Denmark,1.0,1,100.0
Mexico,1.0,1,100.0
Portugal,1.0,1,100.0
Republic of Ireland,1.0,1,100.0
Saudi Arabia,1.0,1,100.0
Slovenia,1.0,1,100.0
South Africa,1.0,1,100.0
Tunisia,1.0,1,100.0
Ukraine,1.0,1,100.0
United States,1.0,1,100.0
Paraguay,2.5,3,83.33333333333334
England,1.5,2,75.0
Germany,1.5,2,75.0
Honduras,1.5,2,75.0
Chile,2.0,3,66.66666666666666
Switzerland,2.0,3,66.66666666666666
South Korea,1.5,3,50.0
Belgium,1.0,2,50.0
Netherlands,1.0,2,50.0
Northern Ireland,1.0,2,50.0
Sweden,1.0,2,50.0
Uruguay,1.0,2,50.0
Yugoslavia,1.0,2,50.0
Brazil,1.5,5,30.0
Italy,0.5,3,16.666666666666664
West Germany,0.0,2,0.0
Argentina,0.0,1,0.0
Austria,0.0,1,0.0
Czechoslovakia,0.0,1,0.0
France,0.0,1,0.0
Nigeria,0.0,1,0.0
