,Opponent,Result
1934-05-27,Brazil,Win
1934-05-31,Italy,Draw
1934-06-01,Italy,Loss
1950-06-25,United States,Win
1950-06-29,Chile,Win
1950-07-02,England,Win
1950-07-09,Uruguay,Draw
1950-07-13,Brazil,Loss
1950-07-16,Sweden,Loss
1962-05-31,Czechoslovakia,Loss
1962-06-03,Mexico,Win
1962-06-06,Brazil,Loss
1966-07-13,Argentina,Loss
1966-07-15,Switzerland,Win
1966-07-20,West Germany,Loss
1978-06-03,Austria,Loss
1978-06-07,Brazil,Draw
1978-06-11,Sweden,Win
1982-06-16,Honduras,Draw
1982-06-20,Yugoslavia,Win
1982-06-25,Northern Ireland,Loss
1982-07-02,West Germany,Loss
1982-07-05,England,Draw
1986-06-01,Brazil,Loss
1986-06-07,Northern Ireland,Win
1986-06-12,Algeria,Win
1986-06-18,Denmark,Win
1986-06-22,Belgium,Loss
1990-06-13,Uruguay,Draw
1990-06-17,South Korea,Win
1990-06-21,Belgium,Win
1990-06-26,Yugoslavia,Loss
1994-06-17,South Korea,Draw
1994-06-21,Germany,Draw
1994-06-27,Bolivia,Win
1994-07-02,Switzerland,Win
1994-07-09,Italy,Loss
1998-06-13,Nigeria,Loss
1998-06-19,Paraguay,Draw
1998-06-24,Bulgaria,Win
2002-06-02,Slovenia,Win
2002-06-07,Paraguay,Win
2006-06-19,Tunisia,Win
2002-06-12,South Africa,Win
2002-06-16,Republic of Ireland,Win
2002-06-22,South Korea,Loss
2006-06-14,Ukraine,Win
2006-06-23,Saudi Arabia,Win
2006-06-27,France,Loss
2010-06-16,Switzerland,Loss
2010-06-21,Honduras,Win
2010-06-25,Chile,Win
2010-06-29,Portugal,Win
2010-07-03,Paraguay,Win
2010-07-07,Germany,Win
2010-07-11,Netherlands,Win
2014-06-13,Netherlands,Loss
2014-06-18,Chile,Loss
2014-06-23,Australia,Win
