,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Sweden_result_value
0,0,21,1102,204,1934-05-27,1934,Italy,Bologna,Littorale,14000.0,Groups,Sweden,SWE,Argentina,ARG,1,1,2,1,3,2,Sweden,1.0,1.0,2.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
1,1,27,1129,418,1934-05-31,1934,Italy,Milan,San Siro,3000.0,Quarterfinals,Germany,GER,Sweden,SWE,0,0,2,1,2,1,Germany,0.0,0.0,2.0,1.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
2,2,46,1158,429,1938-06-12,1938,France,Antibes,Fort Carree,7000.0,Quarterfinals,Sweden,SWE,Cuba,CUB,4,0,4,0,8,0,Sweden,4.0,0.0,4.0,0.0,8.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
3,3,49,1176,3489,1938-06-16,1938,France,Paris,Parc des Princes,20000.0,Semifinals,Hungary,HUN,Sweden,SWE,3,1,2,0,5,1,Hungary,3.0,1.0,2.0,0.0,5.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
4,4,51,1151,3488,1938-06-19,1938,France,Bordeaux,Stade du Parc Lescure,12000.0,Third place,Brazil,BRA,Sweden,SWE,1,2,3,0,4,2,Brazil,1.0,2.0,3.0,0.0,4.0,2.0,Third place,Third place,5.0,5.0,5.0
5,5,56,1219,208,1950-06-25,1950,Brazil,São Paulo,Pacaembu,36502.0,Groups,Sweden,SWE,Italy,ITA,2,1,1,1,3,2,Sweden,2.0,1.0,1.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
6,6,61,1228,208,1950-06-29,1950,Brazil,Curitiba,Durival de Brito,7903.0,Groups,Sweden,SWE,Paraguay,PAR,2,1,0,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
7,7,70,1189,209,1950-07-09,1950,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,138886.0,Finals,Brazil,BRA,Sweden,SWE,3,0,4,1,7,1,Brazil,3.0,0.0,4.0,1.0,7.0,1.0,Finals,Finals,6.0,6.0,6.0
8,8,72,1231,209,1950-07-13,1950,Brazil,São Paulo,Pacaembu,7987.0,Finals,Uruguay,URU,Sweden,SWE,1,2,2,0,3,2,Uruguay,1.0,2.0,2.0,0.0,3.0,2.0,,,,,
9,9,73,1206,209,1950-07-16,1950,Brazil,São Paulo,Pacaembu,11227.0,Finals,Sweden,SWE,Spain,ESP,2,0,1,1,3,1,Sweden,2.0,0.0,1.0,1.0,3.0,1.0,,,,,
10,10,101,1415,220,1958-06-08,1958,Sweden,Solna,Rasunda Stadium,34107.0,Groups,Sweden,SWE,Mexico,MEX,1,0,2,0,3,0,Sweden,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
11,11,116,1406,220,1958-06-12,1958,Sweden,Solna,Rasunda Stadium,38850.0,Groups,Sweden,SWE,Hungary,HUN,1,0,1,1,2,1,Sweden,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
12,12,117,1438,220,1958-06-15,1958,Sweden,Solna,Rasunda Stadium,30287.0,Groups,Sweden,SWE,Wales,WAL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
13,13,130,1437,221,1958-06-19,1958,Sweden,Solna,Rasunda Stadium,31900.0,Quarterfinals,Sweden,SWE,Soviet Union,URS,0,0,2,0,2,0,Sweden,0.0,0.0,2.0,0.0,2.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
14,14,132,1390,488,1958-06-24,1958,Sweden,Gothenburg,Nya Ullevi,49471.0,Semifinals,Sweden,SWE,West Germany,FRG,1,1,2,0,3,1,Sweden,1.0,1.0,2.0,0.0,3.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
15,15,135,1343,3482,1958-06-29,1958,Sweden,Solna,Rasunda Stadium,49737.0,Finals,Brazil,BRA,Sweden,SWE,2,1,3,1,5,2,Brazil,2.0,1.0,3.0,1.0,5.0,2.0,Champion,Finals,7.0,6.0,6.0
16,16,204,1883,250,1970-06-03,1970,Mexico,Toluca,Luis Dosal,13433.0,Groups,Italy,ITA,Sweden,SWE,1,0,0,0,1,0,Italy,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
17,17,212,1880,250,1970-06-07,1970,Mexico,Toluca,Luis Dosal,9624.0,Groups,Sweden,SWE,Israel,ISR,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
18,18,216,1922,250,1970-06-10,1970,Mexico,Puebla,Cuauhtemoc,18163.0,Groups,Sweden,SWE,Uruguay,URU,0,0,1,0,1,0,Sweden,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
19,19,237,1995,262,1974-06-15,1974,Germany,Düsseldorf,Rheinstadion,23800.0,Groups,Sweden,SWE,Bulgaria,BUL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
20,20,244,2097,262,1974-06-19,1974,Germany,Dortmund,Westfalenstadion,53700.0,Groups,Netherlands,NED,Sweden,SWE,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
