Opponent,Wins,Matches,Win %
Cuba,1.0,1,100.0
Mexico,1.0,1,100.0
Nigeria,1.0,1,100.0
Romania,1.0,1,100.0
Russia,1.0,1,100.0
Saudi Arabia,1.0,1,100.0
Soviet Union,1.0,1,100.0
Yugoslavia,1.0,1,100.0
Argentina,1.5,2,75.0
Bulgaria,1.5,2,75.0
Paraguay,1.5,2,75.0
Uruguay,2.0,3,66.66666666666666
England,1.0,2,50.0
Hungary,1.0,2,50.0
Italy,1.0,2,50.0
Spain,1.0,2,50.0
West Germany,1.0,2,50.0
Cameroon,0.5,1,50.0
Israel,0.5,1,50.0
Netherlands,0.5,1,50.0
Trinidad and Tobago,0.5,1,50.0
Wales,0.5,1,50.0
Brazil,1.0,7,14.285714285714285
Germany,0.0,2,0.0
Austria,0.0,1,0.0
Costa Rica,0.0,1,0.0
Poland,0.0,1,0.0
Scotland,0.0,1,0.0
Senegal,0.0,1,0.0
