Opponent,Wins,Matches,Win %
Brazil,0,7,0.00%
Uruguay,2,3,66.67%
Argentina,1,2,50.00%
Germany,0,2,0.00%
Paraguay,1,2,50.00%
Spain,1,2,50.00%
Italy,1,2,50.00%
Hungary,1,2,50.00%
England,0,2,0.00%
West Germany,1,2,50.00%
Bulgaria,1,2,50.00%
Russia,1,1,100.00%
Trinidad and Tobago,0,1,0.00%
Wales,0,1,0.00%
Soviet Union,1,1,100.00%
Senegal,0,1,0.00%
Scotland,0,1,0.00%
Saudi Arabia,1,1,100.00%
Nigeria,1,1,100.00%
Romania,1,1,100.00%
Poland,0,1,0.00%
Austria,0,1,0.00%
Netherlands,0,1,0.00%
Mexico,1,1,100.00%
Israel,0,1,0.00%
Cuba,1,1,100.00%
Costa Rica,0,1,0.00%
Cameroon,0,1,0.00%
Yugoslavia,1,1,100.00%
