,Opponent,Result
1934-05-27,Argentina,Win
1934-05-31,Germany,Loss
1938-06-12,Cuba,Win
1938-06-16,Hungary,Loss
1938-06-19,Brazil,Loss
1950-06-25,Italy,Win
1950-06-29,Paraguay,Loss
1950-07-09,Brazil,Loss
1950-07-13,Uruguay,Loss
1950-07-16,Spain,Win
1958-06-08,Mexico,Win
1958-06-12,Hungary,Win
1958-06-15,Wales,Loss
1958-06-19,Soviet Union,Win
1958-06-24,West Germany,Win
1958-06-29,Brazil,Loss
1970-06-03,Italy,Loss
1970-06-07,Israel,Loss
1970-06-10,Uruguay,Win
1974-06-15,Bulgaria,Loss
1974-06-19,Netherlands,Loss
1974-06-23,Uruguay,Win
1974-06-26,Poland,Loss
1974-06-30,West Germany,Loss
1974-07-03,Yugoslavia,Win
1978-06-03,Brazil,Loss
1978-06-07,Austria,Loss
1978-06-11,Spain,Loss
1990-06-10,Brazil,Loss
1990-06-16,Scotland,Loss
1990-06-20,Costa Rica,Loss
1994-06-19,Cameroon,Loss
1994-06-24,Russia,Win
1994-06-28,Brazil,Loss
1994-07-03,Saudi Arabia,Win
1994-07-10,Romania,Win
1994-07-13,Brazil,Loss
1994-07-16,Bulgaria,Win
2002-06-02,England,Loss
2002-06-07,Nigeria,Win
2002-06-12,Argentina,Loss
2002-06-16,Senegal,Loss
2006-06-10,Trinidad and Tobago,Loss
2006-06-15,Paraguay,Win
2006-06-20,England,Loss
2006-06-24,Germany,Loss
