,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Switzerland_result_value
32,834,300186503,255951,2014-07-01,2014,Brazil,São Paulo,Arena de Sao Paulo,63255.0,Round of 16,Argentina,ARG,Switzerland,SUI,0,0,1,0,1,0,Argentina,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
26,723,300111112,249722,2010-06-16,2010,South Africa,Durban,Durban Stadium,62453.0,Groups,Spain,ESP,Switzerland,SUI,0,0,0,1,0,1,Switzerland,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
25,697,97410054,97410200,2006-06-26,2006,Germany,Cologne,"FIFA World Cup Stadium, Cologne",45000.0,Round of 16,Switzerland,SUI,Ukraine,UKR,0,0,0,0,0,0,Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
21,501,3086,338,1994-07-02,1994,United States,Washington,RFK Stadium,53121.0,Round of 16,Spain,ESP,Switzerland,SUI,1,0,2,0,3,0,Spain,1.0,0.0,2.0,0.0,3.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
15,169,1656,238,1966-07-12,1966,England,Sheffield,Hillsborough,36127.0,Groups,West Germany,FRG,Switzerland,SUI,3,0,2,0,5,0,West Germany,3.0,0.0,2.0,0.0,5.0,0.0,Groups,Groups,1.0,1.0,1.0
12,139,1473,231,1962-05-30,1962,Chile,Santiago,Nacional,65006.0,Groups,Chile,CHI,Switzerland,SUI,1,1,2,0,3,1,Chile,1.0,1.0,2.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
11,94,1237,212,1954-06-26,1954,Switzerland,Lausanne,La Pontaise,35000.0,Quarterfinals,Austria,AUT,Switzerland,SUI,5,4,2,1,7,5,Austria,5.0,4.0,2.0,1.0,7.0,5.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
5,57,1230,208,1950-06-25,1950,Brazil,Belo Horizonte,Independencia,7336.0,Groups,Yugoslavia,YUG,Switzerland,SUI,0,0,3,0,3,0,Yugoslavia,0.0,0.0,3.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
4,45,1175,429,1938-06-12,1938,France,Lille,Victor Boucquey,15000.0,Quarterfinals,Hungary,HUN,Switzerland,SUI,1,0,1,0,2,0,Hungary,1.0,0.0,1.0,0.0,2.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
1,26,1143,418,1934-05-31,1934,Italy,Turin,Stadio Benito Mussolini,12000.0,Quarterfinals,Czechoslovakia,TCH,Switzerland,SUI,1,1,2,1,3,2,Czechoslovakia,1.0,1.0,2.0,1.0,3.0,2.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
