Opponent,Wins,Matches,Win %
Argentina,0.0,3,0.00%
Spain,1.0,3,33.33%
Italy,2.0,3,66.67%
West Germany,0.0,2,0.00%
Chile,0.0,2,0.00%
France,0.5,2,25.00%
Germany,1.5,2,75.00%
Honduras,1.5,2,75.00%
Netherlands,1.0,1,100.00%
United States,0.5,1,50.00%
Ukraine,0.0,1,0.00%
Togo,1.0,1,100.00%
South Korea,1.0,1,100.00%
Romania,1.0,1,100.00%
Hungary,0.0,1,0.00%
Mexico,1.0,1,100.00%
Austria,0.0,1,0.00%
England,0.0,1,0.00%
Ecuador,1.0,1,100.00%
Czechoslovakia,0.0,1,0.00%
Colombia,0.0,1,0.00%
Brazil,0.5,1,50.00%
Yugoslavia,0.0,1,0.00%
