Opponent,Wins,Matches,Win %
Ecuador,1.0,1,100.0
Mexico,1.0,1,100.0
Netherlands,1.0,1,100.0
Romania,1.0,1,100.0
South Korea,1.0,1,100.0
Togo,1.0,1,100.0
Germany,1.5,2,75.0
Honduras,1.5,2,75.0
Italy,2.0,3,66.66666666666666
Brazil,0.5,1,50.0
United States,0.5,1,50.0
Spain,1.0,3,33.33333333333333
France,0.5,2,25.0
Argentina,0.0,3,0.0
Chile,0.0,2,0.0
West Germany,0.0,2,0.0
Austria,0.0,1,0.0
Colombia,0.0,1,0.0
Czechoslovakia,0.0,1,0.0
England,0.0,1,0.0
Hungary,0.0,1,0.0
Ukraine,0.0,1,0.0
Yugoslavia,0.0,1,0.0
