,Opponent,Result
1934-05-27,Netherlands,Win
1934-05-31,Czechoslovakia,Loss
1938-06-04,Germany,Draw
1938-06-09,Germany,Win
1938-06-12,Hungary,Loss
1950-06-25,Yugoslavia,Loss
1950-06-28,Brazil,Draw
1950-07-02,Mexico,Win
1954-06-17,Italy,Win
1954-06-20,England,Loss
1954-06-23,Italy,Win
1954-06-26,Austria,Loss
1962-05-30,Chile,Loss
1962-06-03,West Germany,Loss
1962-06-07,Italy,Loss
1966-07-12,West Germany,Loss
1966-07-15,Spain,Loss
1966-07-19,Argentina,Loss
1994-06-18,United States,Draw
1994-06-22,Romania,Win
1994-06-26,Colombia,Loss
1994-07-02,Spain,Loss
2006-06-13,France,Draw
2006-06-19,Togo,Win
2006-06-23,South Korea,Win
2006-06-26,Ukraine,Loss
2010-06-16,Spain,Win
2010-06-21,Chile,Loss
2010-06-25,Honduras,Draw
2014-06-15,Ecuador,Win
2014-06-20,France,Loss
2014-06-25,Honduras,Win
2014-07-01,Argentina,Loss
2014-07-01,Argentina,Loss
