,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
0,272,2433,278,1978-06-02,1978,Argentina,Rosario,Arroyito - Estadio Dr. Lisandro de la Torre,17396.0,Groups,Tunisia,TUN,Mexico,MEX,0,1,3,0,3,1,Tunisia,0.0,1.0,3.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0
1,280,2454,278,1978-06-06,1978,Argentina,Rosario,Arroyito - Estadio Dr. Lisandro de la Torre,9624.0,Groups,Poland,POL,Tunisia,TUN,1,0,0,0,1,0,Poland,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
2,289,2352,278,1978-06-10,1978,Argentina,Córdoba,Estadio Olímpico Cordoba,30667.0,Groups,West Germany,FRG,Tunisia,TUN,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0
3,529,8740,1014,1998-06-15,1998,France,Marseille,Stade Vélodrome,55000.0,Groups,England,ENG,Tunisia,TUN,1,0,1,0,2,0,England,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
4,546,8755,1014,1998-06-22,1998,France,Montpellier,La Mosson,29800.0,Groups,Colombia,COL,Tunisia,TUN,0,0,1,0,1,0,Colombia,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
5,562,8769,1014,1998-06-26,1998,France,Saint-Denis,Stade de France,77000.0,Groups,Romania,ROU,Tunisia,TUN,0,1,1,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
6,594,43950015,43950100,2002-06-05,2002,Japan,Kobe,Kobe Wing Stadium,30957.0,Groups,Russia,RUS,Tunisia,TUN,0,0,2,0,2,0,Russia,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
7,611,43950031,43950100,2002-06-10,2002,Japan,Ōita,Oita Stadium Big Eye,39700.0,Groups,Tunisia,TUN,Belgium,BEL,1,1,0,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
8,614,97410031,97410100,2006-06-19,2006,Germany,Stuttgart,Gottlieb-Daimler-Stadion,52000.0,Groups,Spain,ESP,Tunisia,TUN,0,1,3,0,3,1,Spain,0.0,1.0,3.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0
9,625,43950045,43950100,2002-06-14,2002,Japan,Osaka,Osaka Nagai Stadium,45213.0,Groups,Tunisia,TUN,Japan,JPN,0,0,0,2,0,2,Japan,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0
10,660,97410016,97410100,2006-06-14,2006,Germany,Munich,"FIFA World Cup Stadium, Munich",66000.0,Groups,Tunisia,TUN,Saudi Arabia,KSA,1,0,1,2,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0
11,688,97410048,97410100,2006-06-23,2006,Germany,Berlin,Olympiastadion,72000.0,Groups,Ukraine,UKR,Tunisia,TUN,0,0,1,0,1,0,Ukraine,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
