,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,United States_result_value
0,0,1,1090,201,1930-07-13,1930,Uruguay,Montevideo,Parque Central,18346.0,Groups,United States,USA,Belgium,BEL,2,0,1,0,3,0,United States,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
1,1,7,1097,201,1930-07-17,1930,Uruguay,Montevideo,Parque Central,18306.0,Groups,United States,USA,Paraguay,PAR,2,0,1,0,3,0,United States,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
2,2,15,1088,202,1930-07-26,1930,Uruguay,Montevideo,Estadio Centenario,72886.0,Semifinals,Argentina,ARG,United States,USA,1,0,5,1,6,1,Argentina,1.0,0.0,5.0,1.0,6.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
3,3,24,1135,204,1934-05-27,1934,Italy,Rome,Nazionale PNF,25000.0,Groups,Italy,ITA,United States,USA,3,0,4,1,7,1,Italy,3.0,0.0,4.0,1.0,7.0,1.0,Groups,Groups,1.0,1.0,1.0
4,4,55,1208,208,1950-06-25,1950,Brazil,Curitiba,Durival de Brito,9511.0,Groups,Spain,ESP,United States,USA,0,1,3,0,3,1,Spain,0.0,1.0,3.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
5,5,62,1202,208,1950-06-29,1950,Brazil,Belo Horizonte,Independencia,10151.0,Groups,United States,USA,England,ENG,1,0,0,0,1,0,United States,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
6,6,68,1194,208,1950-07-02,1950,Brazil,Recife,Ilha do Retiro,8501.0,Groups,Chile,CHI,United States,USA,2,0,3,2,5,2,Chile,2.0,0.0,3.0,2.0,5.0,2.0,Groups,Groups,1.0,1.0,1.0
7,7,416,355,322,1990-06-10,1990,Italy,Florence,Comunale,33266.0,Groups,United States,USA,Czechoslovakia,TCH,0,2,1,3,1,5,Czechoslovakia,2.0,0.0,3.0,1.0,5.0,1.0,Groups,Groups,1.0,1.0,1.0
8,8,427,265,322,1990-06-14,1990,Italy,Rome,Stadio Olimpico,73423.0,Groups,Italy,ITA,United States,USA,1,0,0,0,1,0,Italy,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
9,9,441,48,322,1990-06-19,1990,Italy,Florence,Comunale,34857.0,Groups,Austria,AUT,United States,USA,0,0,2,1,2,1,Austria,0.0,0.0,2.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
10,10,466,3051,337,1994-06-18,1994,United States,Pontiac,Pontiac Silverdome,73425.0,Groups,United States,USA,Switzerland,SUI,1,1,0,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
11,11,478,3063,337,1994-06-22,1994,United States,Pasadena,Rose Bowl,93869.0,Groups,United States,USA,Colombia,COL,1,0,1,1,2,1,United States,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
12,12,488,3073,337,1994-06-26,1994,United States,Pasadena,Rose Bowl,93869.0,Groups,United States,USA,Romania,ROU,0,1,0,0,0,1,Romania,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
13,13,505,3090,338,1994-07-04,1994,United States,Palo Alto,Stanford Stadium,84147.0,Round of 16,Brazil,BRA,United States,USA,0,0,1,0,1,0,Brazil,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
14,14,531,8738,1014,1998-06-15,1998,France,Paris,Parc des Princes,45500.0,Groups,Germany,GER,United States,USA,1,0,1,0,2,0,Germany,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
15,15,545,8754,1014,1998-06-21,1998,France,Lyon,Stade de Gerland,39100.0,Groups,United States,USA,Iran,IRN,0,1,1,1,1,2,Iran,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
16,16,559,8768,1014,1998-06-25,1998,France,Nantes,La Beaujoire,35500.0,Groups,United States,USA,Yugoslavia,YUG,0,1,0,0,0,1,Yugoslavia,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
17,17,595,43950016,43950100,2002-06-05,2002,South Korea,Suwon,Suwon World Cup Stadium,37306.0,Groups,United States,USA,Portugal,POR,3,1,0,1,3,2,United States,3.0,1.0,0.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
18,18,609,43950030,43950100,2002-06-10,2002,South Korea,Daegu,Daegu World Cup Stadium,60778.0,Groups,South Korea,KOR,United States,USA,0,1,1,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
19,19,627,43950048,43950100,2002-06-14,2002,South Korea,Daejeon,Daejeon World Cup Stadium,26482.0,Groups,Poland,POL,United States,USA,2,0,1,1,3,1,Poland,2.0,0.0,1.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
20,20,634,43950053,43950200,2002-06-17,2002,South Korea,Jeonju,Jeonju World Cup Stadium,36380.0,Round of 16,Mexico,MEX,United States,USA,0,1,0,1,0,2,United States,1.0,0.0,1.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
21,21,638,43950058,43950300,2002-06-21,2002,South Korea,Ulsan,Munsu Football Stadium,37337.0,Quarterfinals,Germany,GER,United States,USA,1,0,0,0,1,0,Germany,1.0,0.0,0.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
22,22,654,97410010,97410100,2006-06-12,2006,Germany,Gelsenkirchen,"FIFA World Cup Stadium, Gelsenkirchen",52000.0,Groups,United States,USA,Czech Republic,CZE,0,2,0,1,0,3,Czech Republic,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
