Opponent,Wins,Matches,Win %
Algeria,1.0,1,100.0
Colombia,1.0,1,100.0
Mexico,1.0,1,100.0
Paraguay,1.0,1,100.0
England,1.5,2,75.0
Portugal,1.5,2,75.0
Slovenia,0.5,1,50.0
South Korea,0.5,1,50.0
Switzerland,0.5,1,50.0
Belgium,1.0,3,33.33333333333333
Ghana,1.0,3,33.33333333333333
Italy,0.5,3,16.666666666666664
Germany,0.0,3,0.0
Argentina,0.0,1,0.0
Austria,0.0,1,0.0
Brazil,0.0,1,0.0
Chile,0.0,1,0.0
Czech Republic,0.0,1,0.0
Czechoslovakia,0.0,1,0.0
Iran,0.0,1,0.0
Poland,0.0,1,0.0
Romania,0.0,1,0.0
Spain,0.0,1,0.0
Yugoslavia,0.0,1,0.0
