,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,United States_result_value
32,835,300186497,255951,2014-07-01,2014,Brazil,Salvador,Arena Fonte Nova,51227.0,Round of 16,Belgium,BEL,United States,USA,0,0,2,1,2,1,Belgium,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
28,757,300061503,249717,2010-06-26,2010,South Africa,Rustenburg,Royal Bafokeng Sports Palace,34976.0,Round of 16,United States,USA,Ghana,GHA,0,0,1,2,1,2,Ghana,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
22,654,97410010,97410100,2006-06-12,2006,Germany,Gelsenkirchen,"FIFA World Cup Stadium, Gelsenkirchen",52000.0,Groups,United States,USA,Czech Republic,CZE,0,2,0,1,0,3,Czech Republic,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
21,638,43950058,43950300,2002-06-21,2002,South Korea,Ulsan,Munsu Football Stadium,37337.0,Quarterfinals,Germany,GER,United States,USA,1,0,0,0,1,0,Germany,1.0,0.0,0.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
14,531,8738,1014,1998-06-15,1998,France,Paris,Parc des Princes,45500.0,Groups,Germany,GER,United States,USA,1,0,1,0,2,0,Germany,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
13,505,3090,338,1994-07-04,1994,United States,Palo Alto,Stanford Stadium,84147.0,Round of 16,Brazil,BRA,United States,USA,0,0,1,0,1,0,Brazil,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
7,416,355,322,1990-06-10,1990,Italy,Florence,Comunale,33266.0,Groups,United States,USA,Czechoslovakia,TCH,0,2,1,3,1,5,Czechoslovakia,2.0,0.0,3.0,1.0,5.0,1.0,Groups,Groups,1.0,1.0,1.0
4,55,1208,208,1950-06-25,1950,Brazil,Curitiba,Durival de Brito,9511.0,Groups,Spain,ESP,United States,USA,0,1,3,0,3,1,Spain,0.0,1.0,3.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
3,24,1135,204,1934-05-27,1934,Italy,Rome,Nazionale PNF,25000.0,Groups,Italy,ITA,United States,USA,3,0,4,1,7,1,Italy,3.0,0.0,4.0,1.0,7.0,1.0,Groups,Groups,1.0,1.0,1.0
2,15,1088,202,1930-07-26,1930,Uruguay,Montevideo,Estadio Centenario,72886.0,Semifinals,Argentina,ARG,United States,USA,1,0,5,1,6,1,Argentina,1.0,0.0,5.0,1.0,6.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
