,Opponent,Result
1930-07-13,Belgium,Win
1930-07-17,Paraguay,Win
1930-07-26,Argentina,Loss
1934-05-27,Italy,Loss
1950-06-25,Spain,Loss
1950-06-29,England,Win
1950-07-02,Chile,Loss
1990-06-10,Czechoslovakia,Loss
1990-06-14,Italy,Loss
1990-06-19,Austria,Loss
1994-06-18,Switzerland,Loss
1994-06-22,Colombia,Win
1994-06-26,Romania,Loss
1994-07-04,Brazil,Loss
1998-06-15,Germany,Loss
1998-06-21,Iran,Loss
1998-06-25,Yugoslavia,Loss
2002-06-05,Portugal,Win
2002-06-10,South Korea,Loss
2002-06-14,Poland,Loss
2002-06-17,Mexico,Win
2002-06-21,Germany,Loss
2006-06-12,Czech Republic,Loss
2006-06-17,Italy,Loss
2006-06-22,Ghana,Loss
2010-06-12,England,Loss
2010-06-18,Slovenia,Loss
2010-06-23,Algeria,Win
2010-06-26,Ghana,Loss
2014-06-16,Ghana,Win
2014-06-22,Portugal,Loss
2014-06-26,Germany,Loss
2014-07-01,Belgium,Loss
2014-07-01,Belgium,Loss
