,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Uruguay_result_value
0,0,8,1099,201,1930-07-18,1930,Uruguay,Montevideo,Estadio Centenario,57735.0,Groups,Uruguay,URU,Peru,PER,0,0,1,0,1,0,Uruguay,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
1,1,13,1100,201,1930-07-21,1930,Uruguay,Montevideo,Estadio Centenario,70022.0,Groups,Uruguay,URU,Romania,ROU,4,0,0,0,4,0,Uruguay,4.0,0.0,0.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0,1.0
2,2,16,1101,202,1930-07-27,1930,Uruguay,Montevideo,Estadio Centenario,79867.0,Semifinals,Uruguay,URU,Yugoslavia,YUG,3,1,3,0,6,1,Uruguay,3.0,1.0,3.0,0.0,6.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
3,3,17,1087,405,1930-07-30,1930,Uruguay,Montevideo,Estadio Centenario,68346.0,Finals,Uruguay,URU,Argentina,ARG,1,2,3,0,4,2,Uruguay,1.0,2.0,3.0,0.0,4.0,2.0,Champion,Finals,7.0,6.0,7.0
4,4,66,1185,208,1950-07-02,1950,Brazil,Belo Horizonte,Independencia,5284.0,Groups,Uruguay,URU,Bolivia,BOL,4,0,4,0,8,0,Uruguay,4.0,0.0,4.0,0.0,8.0,0.0,Groups,Groups,1.0,1.0,1.0
5,5,69,1207,209,1950-07-09,1950,Brazil,São Paulo,Pacaembu,44802.0,Finals,Uruguay,URU,Spain,ESP,1,2,1,0,2,2,Draw,,,,,,,Champion,Finals,7.0,6.0,7.0
6,6,72,1231,209,1950-07-13,1950,Brazil,São Paulo,Pacaembu,7987.0,Finals,Uruguay,URU,Sweden,SWE,1,2,2,0,3,2,Uruguay,1.0,2.0,2.0,0.0,3.0,2.0,,,,,
7,7,74,1190,209,1950-07-16,1950,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,173850.0,Finals,Uruguay,URU,Brazil,BRA,0,0,2,1,2,1,Uruguay,0.0,0.0,2.0,1.0,2.0,1.0,,,,,
8,8,75,1315,211,1954-06-16,1954,Switzerland,Berne,Wankdorf Stadium,20500.0,Groups,Uruguay,URU,Czechoslovakia,TCH,0,0,2,0,2,0,Uruguay,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
9,9,83,1313,211,1954-06-19,1954,Switzerland,Basel,St. Jakob,34000.0,Groups,Uruguay,URU,Scotland,SCO,2,0,5,0,7,0,Uruguay,2.0,0.0,5.0,0.0,7.0,0.0,Groups,Groups,1.0,1.0,1.0
10,10,93,1264,212,1954-06-26,1954,Switzerland,Basel,St. Jakob,28000.0,Quarterfinals,Uruguay,URU,England,ENG,2,1,2,1,4,2,Uruguay,2.0,1.0,2.0,1.0,4.0,2.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
11,11,98,1295,462,1954-06-30,1954,Switzerland,Lausanne,La Pontaise,45000.0,Semifinals,Hungary,HUN,Uruguay,URU,0,0,4,2,4,2,Hungary,0.0,0.0,4.0,2.0,4.0,2.0,Semifinals,Semifinals,4.0,4.0,4.0
12,12,99,1239,3485,1954-07-03,1954,Switzerland,Zürich,Hardturm,32000.0,Third place,Austria,AUT,Uruguay,URU,1,1,2,0,3,1,Austria,1.0,1.0,2.0,0.0,3.0,1.0,Third place,Third place,5.0,5.0,5.0
