Opponent,Wins,Matches,Win %
South Korea,2.0,2,100.0
Bolivia,1.0,1,100.0
Czechoslovakia,1.0,1,100.0
Ghana,1.0,1,100.0
Israel,1.0,1,100.0
Peru,1.0,1,100.0
Romania,1.0,1,100.0
South Africa,1.0,1,100.0
England,2.5,3,83.33333333333334
Mexico,1.5,2,75.0
Scotland,1.5,2,75.0
France,2.0,3,66.66666666666666
Italy,1.5,3,50.0
Argentina,1.0,2,50.0
Brazil,1.0,2,50.0
Soviet Union,1.0,2,50.0
Spain,1.0,2,50.0
Yugoslavia,1.0,2,50.0
Bulgaria,0.5,1,50.0
Senegal,0.5,1,50.0
Colombia,1.0,3,33.33333333333333
Sweden,1.0,3,33.33333333333333
West Germany,0.5,3,16.666666666666664
Denmark,0.0,2,0.0
Netherlands,0.0,2,0.0
Austria,0.0,1,0.0
Belgium,0.0,1,0.0
Costa Rica,0.0,1,0.0
Germany,0.0,1,0.0
Hungary,0.0,1,0.0
