Opponent,Wins,Matches,Win %
South Korea,2,2,100.0
Bolivia,1,1,100.0
Czechoslovakia,1,1,100.0
Ghana,1,1,100.0
Israel,1,1,100.0
Peru,1,1,100.0
Romania,1,1,100.0
South Africa,1,1,100.0
England,2,3,66.66666666666666
Argentina,1,2,50.0
Brazil,1,2,50.0
Mexico,1,2,50.0
Scotland,1,2,50.0
Soviet Union,1,2,50.0
Yugoslavia,1,2,50.0
Colombia,1,3,33.33333333333333
France,1,3,33.33333333333333
Italy,1,3,33.33333333333333
Sweden,1,3,33.33333333333333
West Germany,0,3,0.0
Denmark,0,2,0.0
Netherlands,0,2,0.0
Spain,0,2,0.0
Austria,0,1,0.0
Belgium,0,1,0.0
Bulgaria,0,1,0.0
Costa Rica,0,1,0.0
Germany,0,1,0.0
Hungary,0,1,0.0
Senegal,0,1,0.0
