,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,West Germany_result_value
61,463,27,3462,1990-07-08,1990,Italy,Rome,Stadio Olimpico,73603.0,Finals,West Germany,FRG,Argentina,ARG,0,0,1,0,1,0,West Germany,0.0,0.0,1.0,0.0,1.0,0.0,Champion,Finals,7.0,6.0,7.0
54,411,393,3467,1986-06-29,1986,Mexico,Mexico City,Estadio Azteca,114600.0,Finals,Argentina,ARG,West Germany,FRG,1,0,2,2,3,2,Argentina,1.0,0.0,2.0,2.0,3.0,2.0,Champion,Finals,7.0,6.0,6.0
47,359,923,3475,1982-07-11,1982,Spain,Madrid,Santiago Bernabeu,90000.0,Finals,Italy,ITA,West Germany,FRG,0,0,3,1,3,1,Italy,0.0,0.0,3.0,1.0,3.0,1.0,Champion,Finals,7.0,6.0,6.0
38,295,2349,279,1978-06-14,1978,Argentina,Buenos Aires,El Monumental - Estadio Monumental Antonio Vespuci,67547.0,Round of 16,West Germany,FRG,Italy,ITA,0,0,0,0,0,0,Draw,,,,,,,Round of 16,Round of 16,2.0,2.0,2.0
34,269,2063,605,1974-07-07,1974,Germany,Munich,Olympiastadion,78200.0,Finals,Netherlands,NED,West Germany,FRG,1,2,0,0,1,2,West Germany,2.0,1.0,0.0,0.0,2.0,1.0,Finals,Champion,6.0,7.0,7.0
27,230,1843,3477,1970-06-20,1970,Mexico,Mexico City,Estadio Azteca,104403.0,Third place,West Germany,FRG,Uruguay,URU,1,0,0,0,1,0,West Germany,1.0,0.0,0.0,0.0,1.0,0.0,Third place,Third place,5.0,5.0,5.0
21,199,1633,3478,1966-07-30,1966,England,London,Wembley Stadium,96924.0,Finals,England,ENG,West Germany,FRG,0,0,4,2,4,2,England,0.0,0.0,4.0,2.0,4.0,2.0,Champion,Finals,7.0,6.0,6.0
15,163,1511,232,1962-06-10,1962,Chile,Santiago,Nacional,63324.0,Quarterfinals,Yugoslavia,YUG,West Germany,FRG,0,0,1,0,1,0,Yugoslavia,0.0,0.0,1.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
11,134,1382,3483,1958-06-28,1958,Sweden,Gothenburg,Nya Ullevi,32483.0,Third place,France,FRA,West Germany,FRG,3,1,3,2,6,3,France,3.0,1.0,3.0,2.0,6.0,3.0,Third place,Third place,5.0,5.0,5.0
5,100,1278,3484,1954-07-04,1954,Switzerland,Berne,Wankdorf Stadium,62500.0,Finals,West Germany,FRG,Hungary,HUN,2,2,1,0,3,2,West Germany,2.0,2.0,1.0,0.0,3.0,2.0,Champion,Finals,7.0,6.0,7.0
