Opponent,Wins,Matches,Win %
Yugoslavia,4.0,5,80.00%
Argentina,2.5,4,62.50%
England,2.5,4,62.50%
Italy,1.0,4,25.00%
Uruguay,2.5,3,83.33%
Austria,2.0,3,66.67%
Chile,3.0,3,100.00%
France,2.0,3,66.67%
Netherlands,2.5,3,83.33%
Turkey,2.0,2,100.00%
Switzerland,2.0,2,100.00%
Sweden,1.0,2,50.00%
Spain,2.0,2,100.00%
Poland,1.5,2,75.00%
Morocco,2.0,2,100.00%
Mexico,2.0,2,100.00%
Hungary,1.0,2,50.00%
Czechoslovakia,1.5,2,75.00%
Northern Ireland,0.5,1,50.00%
Peru,1.0,1,100.00%
East Germany,0.0,1,0.00%
Scotland,1.0,1,100.00%
Soviet Union,1.0,1,100.00%
Denmark,0.0,1,0.00%
Colombia,0.5,1,50.00%
Tunisia,0.5,1,50.00%
Bulgaria,1.0,1,100.00%
United Arab Emirates,1.0,1,100.00%
Australia,1.0,1,100.00%
Algeria,0.0,1,0.00%
