Opponent,Wins,Matches,Win %
Chile,3,3,100.0
Mexico,2,2,100.0
Morocco,2,2,100.0
Spain,2,2,100.0
Switzerland,2,2,100.0
Turkey,2,2,100.0
Australia,1,1,100.0
Bulgaria,1,1,100.0
Peru,1,1,100.0
Scotland,1,1,100.0
Soviet Union,1,1,100.0
United Arab Emirates,1,1,100.0
Yugoslavia,4,5,80.0
Austria,2,3,66.66666666666666
France,2,3,66.66666666666666
Netherlands,2,3,66.66666666666666
Uruguay,2,3,66.66666666666666
Argentina,2,4,50.0
England,2,4,50.0
Czechoslovakia,1,2,50.0
Hungary,1,2,50.0
Poland,1,2,50.0
Sweden,1,2,50.0
Italy,0,4,0.0
Algeria,0,1,0.0
Colombia,0,1,0.0
Denmark,0,1,0.0
East Germany,0,1,0.0
Northern Ireland,0,1,0.0
Tunisia,0,1,0.0
