,Opponent,Result
1954-06-17,Turkey,Win
1954-06-20,Hungary,Loss
1954-06-23,Turkey,Win
1954-06-27,Yugoslavia,Win
1954-06-30,Austria,Win
1954-07-04,Hungary,Win
1958-06-08,Argentina,Win
1958-06-11,Czechoslovakia,Loss
1958-06-15,Northern Ireland,Loss
1958-06-19,Yugoslavia,Win
1958-06-24,Sweden,Loss
1958-06-28,France,Loss
1962-05-31,Italy,Loss
1962-06-03,Switzerland,Win
1962-06-06,Chile,Win
1962-06-10,Yugoslavia,Loss
1966-07-12,Switzerland,Win
1966-07-16,Argentina,Loss
1966-07-20,Spain,Win
1966-07-23,Uruguay,Win
1966-07-25,Soviet Union,Win
1966-07-30,England,Loss
1970-06-03,Morocco,Win
1970-06-07,Bulgaria,Win
1970-06-10,Peru,Win
1970-06-14,England,Win
1970-06-17,Italy,Loss
1970-06-20,Uruguay,Win
1974-06-14,Chile,Win
1974-06-18,Australia,Win
1974-06-22,East Germany,Loss
1974-06-26,Yugoslavia,Win
1974-06-30,Sweden,Win
1974-07-03,Poland,Win
1974-07-07,Netherlands,Win
1978-06-01,Poland,Loss
1978-06-06,Mexico,Win
1978-06-10,Tunisia,Loss
1978-06-14,Italy,Loss
1978-06-18,Netherlands,Loss
1978-06-21,Austria,Loss
1982-06-16,Algeria,Loss
1982-06-20,Chile,Win
1982-06-25,Austria,Win
1982-06-29,England,Loss
1982-07-02,Spain,Win
1982-07-08,France,Win
1982-07-11,Italy,Loss
1986-06-04,Uruguay,Loss
1986-06-08,Scotland,Win
1986-06-13,Denmark,Loss
1986-06-17,Morocco,Win
1986-06-21,Mexico,Win
1986-06-25,France,Win
1986-06-29,Argentina,Loss
1990-06-10,Yugoslavia,Win
1990-06-15,United Arab Emirates,Win
1990-06-19,Colombia,Loss
1990-06-24,Netherlands,Win
1990-07-01,Czechoslovakia,Win
1990-07-04,England,Win
1990-07-08,Argentina,Win
