Opponent,Wins,Matches,Win %
Colombia,2.0,2,100.0
France,2.0,2,100.0
Bolivia,1.0,1,100.0
Honduras,1.0,1,100.0
Iran,1.0,1,100.0
Mexico,1.0,1,100.0
Switzerland,1.0,1,100.0
United Arab Emirates,1.0,1,100.0
United States,1.0,1,100.0
Zaire,1.0,1,100.0
Brazil,2.0,4,50.0
Scotland,1.0,2,50.0
Spain,1.0,2,50.0
Uruguay,1.0,2,50.0
Germany,0.5,1,50.0
Northern Ireland,0.5,1,50.0
Paraguay,0.5,1,50.0
West Germany,1.0,5,20.0
Argentina,0.0,1,0.0
Chile,0.0,1,0.0
Czechoslovakia,0.0,1,0.0
Netherlands,0.0,1,0.0
Poland,0.0,1,0.0
Soviet Union,0.0,1,0.0
Sweden,0.0,1,0.0
