,Opponent,Result
1930-07-14,Brazil,Win
1930-07-17,Bolivia,Win
1930-07-27,Uruguay,Loss
1950-06-25,Switzerland,Win
1950-06-28,Mexico,Win
1950-07-01,Brazil,Loss
1954-06-16,France,Win
1954-06-19,Brazil,Loss
1954-06-27,West Germany,Loss
1958-06-08,Scotland,Loss
1958-06-11,France,Win
1958-06-15,Paraguay,Loss
1958-06-19,West Germany,Loss
1962-05-31,Soviet Union,Loss
1962-06-02,Uruguay,Win
1962-06-07,Colombia,Win
1962-06-10,West Germany,Win
1962-06-13,Czechoslovakia,Loss
1962-06-16,Chile,Loss
1974-06-13,Brazil,Loss
1974-06-18,Zaire,Win
1974-06-22,Scotland,Loss
1974-06-26,West Germany,Loss
1974-06-30,Poland,Loss
1974-07-03,Sweden,Loss
1982-06-17,Northern Ireland,Loss
1982-06-20,Spain,Loss
1982-06-24,Honduras,Win
1990-06-10,West Germany,Loss
1990-06-14,Colombia,Win
1990-06-19,United Arab Emirates,Win
1990-06-26,Spain,Win
1990-06-30,Argentina,Loss
1998-06-14,Iran,Win
1998-06-21,Germany,Loss
1998-06-25,United States,Win
1998-06-29,Netherlands,Loss
