"match_date","year","country","city","stadium","attendance","stage","home_name","home_init","away_name","away_init","home_score_45","away_score_45","home_score_final","away_score_final","winner","matchID","roundID"
"1930-07-13",1930,"Uruguay","Montevideo","Pocitos",4444,"Group 1","France","FRA","Mexico","MEX",3,0,4,1,"France",1096,201
"1930-07-13",1930,"Uruguay","Montevideo","Parque Central",18346,"Group 4","United States","USA","Belgium","BEL",2,0,3,0,"USA",1090,201
"1930-07-14",1930,"Uruguay","Montevideo","Parque Central",24059,"Group 2","Yugoslavia","YUG","Brazil","BRA",2,0,2,1,"Yugoslavia",1093,201
"1930-07-14",1930,"Uruguay","Montevideo","Pocitos",2549,"Group 3","Romania","ROU","Peru","PER",1,0,3,1,"Romania",1098,201
"1930-07-15",1930,"Uruguay","Montevideo","Parque Central",23409,"Group 1","Argentina","ARG","France","FRA",0,0,1,0,"Argentina",1085,201
"1930-07-16",1930,"Uruguay","Montevideo","Parque Central",9249,"Group 1","Chile","CHI","Mexico","MEX",1,0,3,0,"Chile",1095,201
"1930-07-17",1930,"Uruguay","Montevideo","Parque Central",18306,"Group 2","Yugoslavia","YUG","Bolivia","BOL",0,0,4,0,"Yugoslavia",1092,201
"1930-07-17",1930,"Uruguay","Montevideo","Parque Central",18306,"Group 4","United States","USA","Paraguay","PAR",2,0,3,0,"USA",1097,201
"1930-07-18",1930,"Uruguay","Montevideo","Estadio Centenario",57735,"Group 3","Uruguay","URU","Peru","PER",0,0,1,0,"Uruguay",1099,201
"1930-07-19",1930,"Uruguay","Montevideo","Estadio Centenario",2000,"Group 1","Chile","CHI","France","FRA",0,0,1,0,"Chile",1094,201
"1930-07-19",1930,"Uruguay","Montevideo","Estadio Centenario",42100,"Group 1","Argentina","ARG","Mexico","MEX",3,1,6,3,"Argentina",1086,201
"1930-07-20",1930,"Uruguay","Montevideo","Estadio Centenario",25466,"Group 2","Brazil","BRA","Bolivia","BOL",1,0,4,0,"Brazil",1091,201
"1930-07-20",1930,"Uruguay","Montevideo","Estadio Centenario",12000,"Group 4","Paraguay","PAR","Belgium","BEL",1,0,1,0,"Paraguay",1089,201
"1930-07-21",1930,"Uruguay","Montevideo","Estadio Centenario",70022,"Group 3","Uruguay","URU","Romania","ROU",4,0,4,0,"Uruguay",1100,201
"1930-07-22",1930,"Uruguay","Montevideo","Estadio Centenario",41459,"Group 1","Argentina","ARG","Chile","CHI",2,1,3,1,"Argentina",1084,201
"1930-07-26",1930,"Uruguay","Montevideo","Estadio Centenario",72886,"Semifinals","Argentina","ARG","United States","USA",1,0,6,1,"Argentina",1088,202
"1930-07-27",1930,"Uruguay","Montevideo","Estadio Centenario",79867,"Semifinals","Uruguay","URU","FR Yugoslavia","YUG",3,1,6,1,"Uruguay",1101,202
"1930-07-30",1930,"Uruguay","Montevideo","Estadio Centenario",68346,"Final","Uruguay","URU","Argentina","ARG",1,2,4,2,"Uruguay",1087,405
"1934-05-27",1934,"Italy","Turin","Stadio Benito Mussolini",16000,"Round of 16","Austria","AUT","France","FRA",0,0,3,2,"Austria",1104,204
"1934-05-27",1934,"Italy","Naples","Giorgio Ascarelli",9000,"Round of 16","Hungary","HUN","Egypt","EGY",2,2,4,2,"Hungary",1119,204
"1934-05-27",1934,"Italy","Milan","San Siro",33000,"Round of 16","Switzerland","SUI","Netherlands","NED",2,1,3,2,"Switzerland",1133,204
"1934-05-27",1934,"Italy","Bologna","Littorale",14000,"Round of 16","Sweden","SWE","Argentina","ARG",1,1,3,2,"Sweden",1102,204
"1934-05-27",1934,"Italy","Florence","Giovanni Berta",8000,"Round of 16","Germany","GER","Belgium","BEL",1,2,5,2,"Germany",1108,204
"1934-05-27",1934,"Italy","Genoa","Luigi Ferraris",21000,"Round of 16","Spain","ESP","Brazil","BRA",3,0,3,1,"Spain",1111,204
"1934-05-27",1934,"Italy","Rome","Nazionale PNF",25000,"Round of 16","Italy","ITA","United States","USA",3,0,7,1,"Italy",1135,204
